机构,户头,成交数量,成交单价,买入手续费,成交日期,权益类持仓
淘宝理财,czh,412.1537826,2.419,0.003,2015/7/12,基金/进取/519670银河行业优选
淘宝理财,czh,528.9124668,1.885,0.003,2015/9/7,基金/进取/519670银河行业优选
淘宝理财,czh,1800.85,1.371,0.006,2016/1/21,基金/进取/519670银河行业优选
银河基金,czh,761.1026034,1.306,0.006,2016/3/21,基金/进取/519670银河行业优选
淘宝理财,czh,717.27,1.389992611,0.003,2016/4/20,基金/进取/519670银河行业优选
国泰君安,czh,814,1.228501229,0,2015/7/10,基金/进取/161024军工etf
国泰君安,czh,200,15.59031552,0.0016,2016/7/1,股票/股票雷达跟投/600837海通证券
国泰君安,czh,100,17.0290591,0.003,2016/7/1,股票/股票雷达跟投/600171上海贝岭
富国基金,czh,2706.48,0.761,0,2016/2/3,基金/进取/161024军工etf
国泰君安,czh,100,16.74346752,0.0016,2016/7/1,股票/股票雷达跟投/600999招商证券
国泰君安,czh,100,9.61,0.0054,2016/7/1,股票/股票雷达跟投/000939凯迪生态
国泰君安,czh,100,8.749711995,0.005737143,2016/7/5,股票/股票雷达跟投/600491龙元建设
国泰君安,czh,100,14.84949153,0.003389831,2016/7/5,股票/股票雷达跟投/002222福晶科技
国泰君安,czh,200,14.941056,0.0016,2016/7/4,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,600,15.748096,0.0016,2016/7/12,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,500,10.87910554,0.0016,2016/7/14,股票/股票雷达跟投/601599鹿港文化
蚂蚁聚宝,czh,0,0,0,2016/1/11,基金/纯债/000205易方达投资级信用债A
蚂蚁聚宝,czh,0,0,0.0008,2016/3/28,基金/纯债/000563南方通利债券a
国泰君安,czh,300,16.06834944,0.0016,2016/7/19,股票/股票雷达跟投/002440闰土股份
国泰君安,czh,300,26.95723264,0.0016,2016/7/13,股票/股票雷达跟投/002673西部证券
蚂蚁聚宝,czh,0,1.204,0.0008,2016/1/11,基金/纯债/270048广发纯债债券A
国泰君安,czh,100,38.23,0.001519749,2016/7/22,股票/股票雷达跟投/603959百利科技
蚂蚁聚宝,czh,8130,1.195498455,0.0008,2016/6/15,基金/可转债/519977长信可转债债券A
国泰君安,czh,1600,9.65,0.001520078,2016/8/2,股票/股票雷达跟投/600130波导股份
国泰君安,czh,1500,9.43,0.001519972,2016/8/2,股票/股票雷达跟投/600130波导股份
国泰君安,czh,2300,8.25,0.001499868,2016/8/2,股票/股票雷达跟投/002495佳隆股份
国泰君安,czh,500,26.84,0.0015,2016/8/4,股票/股票雷达跟投/300444双杰电气
国泰君安,czh,700,14.38,0.001500099,2016/8/4,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,500,14.38,0.001500695,2016/8/4,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,1500,14.48,0.0015,2016/8/4,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,100,21.23,0.002355158,2016/7/20,股票/股票雷达跟投/002276万马股份
国泰君安,czh,1000,1.469,0,2015/6/19,基金/长期/513100纳指EFT
国泰君安,czh,1000,1.39,0,2015/7/10,基金/长期/513100纳指EFT
国泰君安,czh,700,1.497,0,2015/8/10,基金/长期/513100纳指EFT
国泰君安,czh,200,1.467,0,2015/9/14,基金/长期/513100纳指EFT
国泰君安,czh,500,1.48,0,2015/10/16,基金/长期/513100纳指EFT
