机构,户头,成交数量,成交单价,成交日期,权益类持仓
华泰证券,czh,1100,0.962,2016/9/28,基金/进取/512660军工etf
华泰证券,czh,1000,1.006,2016/10/19,基金/进取/512660军工etf
蚂蚁聚宝,czh,968.48,1.031,2016/9/29,基金/进取/002449民生加银量化
蚂蚁聚宝,czh,952.77,1.048,2016/10/18,基金/进取/002449民生加银量化
华泰证券,czh,600,1.661,2016/9/12,基金/进取/513100纳指EFT
华泰证券,czh,600,1.699,2016/9/21,基金/进取/513100纳指EFT
华泰证券,czh,100,1.022,2016/9/1,基金/进取/510810上海国企
华泰证券,czh,900,1.013,2016/9/2,基金/进取/510810上海国企
华泰证券,czh,1000,1,2016/9/19,基金/进取/510810上海国企
华泰证券,czh,1000,1.004,2016/10/19,基金/进取/510810上海国企
蚂蚁聚宝,czh,1379.56,0.724,2016/7/26,基金/进取/001051上证50ETF
蚂蚁聚宝,czh,996.6,1.0019,2016/8/10,基金/进取/110003上证50ETF
华泰证券,czh,400,2.307,2016/8/18,基金/进取/510050上证50ETF
华泰证券,czh,500,2.239,2016/9/19,基金/进取/510050上证50ETF
华泰证券,czh,400,2.284,2016/10/19,基金/进取/510050上证50ETF
国泰君安,czh,400,2.52,2016/7/28,基金/进取/510880上证红利etf
华泰证券,czh,400,2.647,2016/8/18,基金/进取/510880上证红利etf
华泰证券,czh,400,2.571,2016/9/19,基金/进取/510880上证红利etf
华泰证券,czh,400,2.626,2016/10/19,基金/进取/510880上证红利etf
华泰证券,czh,2600,0.391,2016/10/17,基金/进取/150023深成指B
蚂蚁聚宝,czh,999.18,1,2016/8/23,基金/进取/001733泰达宏利量化增强股票
蚂蚁聚宝,czh,978.26,1.021,2016/10/19,基金/进取/001733泰达宏利量化增强股票
蛋卷基金,czh,999.18,1,2016/6/27,基金/进取/001568泰达宏利增利混合
蚂蚁聚宝,czh,1256.6,0.795,2016/8/23,基金/进取/001550天弘中证医药100指数A
蚂蚁聚宝,czh,1266,0.7891,2016/9/19,基金/进取/001550天弘中证医药100指数A
蛋卷基金,czh,9464.47,1.050243701,2016/7/28,基金/进取/001511兴全新视野
蛋卷基金,czh,9195.52,1.080961164,2016/10/27,基金/进取/001511兴全新视野
蚂蚁聚宝,czh,464.84,2.1487,2016/8/3,基金/进取/110026易方达创业板ETF联接
蚂蚁聚宝,czh,453.3,2.2034,2016/9/19,基金/进取/110026易方达创业板ETF联接
蚂蚁聚宝,czh,761.63,1.311004031,2016/6/23,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,720.94,1.384997365,2016/6/23,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,679.25,1.470003681,2016/7/18,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,675.12,1.479,2016/8/18,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,688.15,1.451,2016/9/19,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,665.22,1.501,2016/10/18,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,445.76,2.24,2016/9/29,基金/进取/519983长信量化先锋混合
蚂蚁聚宝,czh,431.69,2.313,2016/10/19,基金/进取/519983长信量化先锋混合
蚂蚁聚宝,czh,154.87,2.313,2016/10/27,基金/进取/519983长信量化先锋混合
华泰证券,czh,1000,1.055,2016/8/26,基金/进取/512880证券etf
华泰证券,czh,1000,1.015,2016/9/19,基金/进取/512880证券etf
华泰证券,czh,1000,1.032,2016/10/19,基金/进取/512880证券etf
蚂蚁聚宝,czh,832.33,0.960003845,2016/5/5,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,837.57,0.953997875,2016/5/17,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,824.6,0.969003153,2016/6/23,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,924.51,0.968,2016/7/18,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,668.79,1.026,2016/8/18,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,881.7,0.998,2016/9/19,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,1024.45,1.462004002,2016/5/5,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,1025.15,1.461005706,2016/5/17,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,1003.18,1.493002253,2016/6/23,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,919.24,1.562,2016/7/18,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,957.27,1.598,2016/8/18,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,908.24,1.593,2016/9/16,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,597.36,1.67202357,2016/5/4,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,623.47,1.6020017,2016/5/17,基金/谱蓝/000311景顺长城沪深300增强10%
