机构,户头,成交数量,成交单价,成交金额,成交日期,权益类持仓
蚂蚁聚宝,czh,996.6,1.0019,1902/9/26,42592,基金/进取/110003上证50ETF
华泰证券,czh,400,2.307,1902/7/11,42600,基金/进取/510050上证50ETF
华泰证券,czh,500,2.239,1903/1/23,42632,基金/进取/510050上证50ETF
华泰证券,czh,400,2.284,1902/7/1,42662,基金/进取/510050上证50ETF
国泰君安,czh,400,2.52,1902/10/6,42579,基金/进取/510880上证红利etf
华泰证券,czh,400,2.647,1902/11/24,42600,基金/进取/510880上证红利etf
华泰证券,czh,400,2.571,1902/10/24,42632,基金/进取/510880上证红利etf
华泰证券,czh,400,2.626,1902/11/15,42662,基金/进取/510880上证红利etf
华泰证券,czh,2600,0.391,1902/10/12,42660,基金/进取/150023深成指B
蚂蚁聚宝,czh,999.18,1,1902/9/26,42605,基金/进取/001733泰达宏利量化增强股票
蚂蚁聚宝,czh,978.26,1.021,1902/9/26,42662,基金/进取/001733泰达宏利量化增强股票
蛋卷基金,czh,999.18,1,1902/9/26,42548,基金/进取/001568泰达宏利增利混合
蚂蚁聚宝,czh,1256.6,0.795,1902/9/26,42605,基金/进取/001550天弘中证医药100指数A
蚂蚁聚宝,czh,1266,0.7891,1902/9/26,42632,基金/进取/001550天弘中证医药100指数A
蛋卷基金,czh,9464.47,1.050243701,1927/5/18,42579,基金/进取/001511兴全新视野
蛋卷基金,czh,9195.52,1.080961164,1927/5/18,42670,基金/进取/001511兴全新视野
蚂蚁聚宝,czh,464.84,2.1487,1902/9/26,42585,基金/进取/110026易方达创业板ETF联接
蚂蚁聚宝,czh,453.3,2.2034,1902/9/26,42632,基金/进取/110026易方达创业板ETF联接
蚂蚁聚宝,czh,761.63,1.311004031,1902/9/26,42544,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,720.94,1.384997365,1902/9/26,42544,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,679.25,1.470003681,1902/9/26,42569,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,675.12,1.479,1902/9/26,42600,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,688.15,1.451,1902/9/26,42632,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,665.22,1.501,1902/9/26,42661,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,445.76,2.24,1902/9/26,42642,基金/进取/519983长信量化先锋混合
蚂蚁聚宝,czh,431.69,2.313,1902/9/26,42662,基金/进取/519983长信量化先锋混合
蚂蚁聚宝,czh,154.87,2.313,1900/1/0,42670,基金/进取/519983长信量化先锋混合
华泰证券,czh,1000,1.055,1902/11/20,42608,基金/进取/512880证券etf
华泰证券,czh,1000,1.015,1902/10/11,42632,基金/进取/512880证券etf
华泰证券,czh,1000,1.032,1902/10/28,42662,基金/进取/512880证券etf
蚂蚁聚宝,czh,832.33,0.960003845,1902/3/10,42495,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,837.57,0.953997875,1902/3/10,42507,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,824.6,0.969003153,1902/3/10,42544,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,924.51,0.968,1902/6/14,42569,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,668.79,1.026,1901/11/17,42600,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,881.7,0.998,1902/5/30,42632,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,1024.45,1.462004002,1904/2/8,42495,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,1025.15,1.461005706,1904/2/8,42507,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,1003.18,1.493002253,1904/2/8,42544,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,919.24,1.562,1903/12/8,42569,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,957.27,1.598,1904/3/11,42600,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,908.24,1.593,1903/12/19,42629,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,597.36,1.67202357,1902/9/26,42494,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,623.47,1.6020017,1902/9/26,42507,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,613.51,1.628009323,1902/9/26,42544,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,507.92,1.758,1902/6/12,42569,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,511.15,1.827,1902/7/23,42600,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,632.74,1.779,1903/1/31,42632,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,1534.1,1.302001173,1905/6/22,42495,基金/谱蓝/270042纳斯达克100指数20%
蚂蚁聚宝,czh,1545.98,1.291996015,1905/6/22,42507,基金/谱蓝/270042纳斯达克100指数20%
蚂蚁聚宝,czh,1513.18,1.320001586,1905/6/22,42544,基金/谱蓝/270042纳斯达克100指数20%
蚂蚁聚宝,czh,1245.92,1.446845303,1904/12/9,42569,基金/谱蓝/040046纳斯达克100指数20%
蚂蚁聚宝,czh,1313.64,1.472,1905/4/19,42600,基金/谱蓝/040046纳斯达克100指数20%
蚂蚁聚宝,czh,1307.89,1.48,1905/4/21,42632,基金/谱蓝/040046纳斯达克100指数20%
蚂蚁聚宝,czh,2529.62,1.185000119,1908/3/18,42495,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,2512.66,1.192998655,1908/3/18,42507,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,2573.05,1.164998737,1908/3/18,42544,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,2600.89,1.209002457,1908/8/12,42569,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,259.96,1.209002457,1900/1/0,42572,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,839.66,1.19,1902/9/26,42600,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,840.37,1.189,1902/9/26,42601,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,834.06,1.198,1902/9/26,42604,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,836.15,1.195,1902/9/26,42632,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,837.55,1.193,1902/9/26,42633,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,834.75,1.197,1902/9/26,42634,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,1299.13,1.30699776,1904/8/26,42494,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1328.61,1.277997305,1904/8/26,42507,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1324.46,1.282001721,1904/8/26,42544,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1388.88,1.310993318,1904/12/27,42569,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1211.62,1.361,1904/7/8,42600,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1297.1,1.336,1904/9/30,42632,基金/谱蓝/118002易方达标普消费品17%
